Textbox16,ProblemNumber,Status,ServiceName,Category,Priority,Textbox10,CreatedDateTime,ClosedDateTime,Subject,ProblemDescription,Workaround,RootCause,RootCauseCode,Resolution,ResolutionAction
"Created Problem Records for Selected Services, Total 1865",5856,Closed,CE Exam Processing,Metrica - CE,5,Cambridge English ,04/04/2018 20:24:20,10/07/2018 08:06:00,PERF environment refresh issue caused INTO (Metrica) Website to error.,The Incident is caused by refreshing PERF environment from PRD environment. There is no current process how to do this so it is very time consuming and relying on engineers writing scripts on the run to copy files between environments at the time of refresh. This environment refresh process will need to be reviewed by the Metrica team for a better defined process with pre-written scripts and steps provided to avoid any human error.,,Backlog item TODO-137 raised for Metrica team to action.,Process Failure,"Appropriate prioritisation by Metrica team, backlog reference TODO-137

Review process of environment refreshes and look to automate as much as possible
There is an outstanding Jira item no. 137 to improve the environments refresh process which was raised on 23/5/17.

",Backlog Item
"Created Problem Records for Selected Services, Total 1865",5858,Closed,Operational Data Store,ODS CDM,4,Cambridge English ,05/04/2018 13:31:53,26/10/2018 10:39:00,Separation of Staging and Unsafe data - Long Running ODS CDM Jobs,"An action agreed, which is not covered by PR5143",VODS system is taking over,Staging and unsafe not separated,Process Failure,Closing as VODS system is going into production so this fix is not needed,Will Not Fix
"Created Problem Records for Selected Services, Total 1865",5859,Closed,Operational Data Store,ODS CDM,5,Cambridge English ,05/04/2018 13:53:42,17/07/2018 12:47:00,Investigate Post Job Steps - Long running ODS CDM job,"A number of incidents raised recently due to long running ODS CDM job.
Initial discussion has identified job component ' 'Set current Record Flag' which runs after ODS Control job and now takes as long to execute.",,the current records flag runtime is adding 5 hours to the overall job.,Process Failure,"Seek out and archive duplicate records to bring down post-job step run times.

",Request for Change
"Created Problem Records for Selected Services, Total 1865",5860,Closed,Print and Distribution Services,Script Tracking System (STS),3,CSD ,05/04/2018 14:00:45,14/05/2018 16:00:05,STS Automation slowness,"Users are experiencing slowness in response of STS Automation hardware. This service is expected to provide response within 1 min and average response time for single response is 0.869 sec. But the automatic sorting process is taking more than 3 min to response from Axiom automation hardware.

PFA the primary investigation details (mail attached).",,The root cause has been identified in one of the STS queries to retrieve data for Axiom not optimized.,Software Issue,As a P2 resolution for incident 574883 under emergency change 20383 an optimized query has been deployed to STS database.,Request for Change
"Created Problem Records for Selected Services, Total 1865",5861,Identified,Network,Triangle Wired Network,4,CSD ,06/04/2018 10:24:28,,Triangle core switch sub-optimal fail-over outages,"In certain circumstances when the core switch at Triangle (ntrdsgmer0101) fail-over there is two outages of approximately 1 minutes. This is sub-optimal.

This is only an issue if there is a switch crash and in these circumstances two outages of approximately 1 minutes should not be see as significant.",None - the last set of testing could not replicate the issue.,Probably a software bug which has not been identified.,Software Issue,,
"Created Problem Records for Selected Services, Total 1865",5862,Closed,Connect Plus,Connect Plus RM,5,Cambridge English ,06/04/2018 10:39:18,31/10/2018 16:12:00,Connect Plus - same audio file played for AM & PM session,"Connect Plus audio

Centre: PT177
Session: CB FCE Jan UF (PM) - 20 Jan
Test sitting: FCE PM WSEBS 20/01/18
Component: Listening
Candidate: 24
CW: PRT01-M08

Issue: Candidate and  CEM reported that the audio track being played during this candidate's Listening test did not match the questions in the test. The CEM reported hearing a Welsh woman speaking which is not present in the PM listening test. However, a Welsh woman is featured in Part 1, Q8 of the AM Listening test. The CW affected was also used for the AM session as well as the PM session at it looks like the AM audio track was played for both AM and PM. The actual questions on-screen were correct. 

I'm going to raise this with RM as well but is there anything we can do this end to investigate this?

C+ and Windows events logs from the CW and the TSA can be found below, if that's of any use/help: 

 URL: https://cambridgeenglish.exavault.com/share/view/ln6r-5ks8t7vt

Many thanks,
Ed",,Caching option to correctly set. RM to deploy fix.,Software Issue,Fix deployed as part of C+ VC9 release on 15th October.,Vendor Fix
"Created Problem Records for Selected Services, Total 1865",5863,Closed,SAP,ERP - Results,3,CSD ,06/04/2018 14:31:00,14/06/2018 11:12:00,ECC: SAP result transfer PRD system via BODS - Performance improvement,"Push result to PRDB  is failed  as part of base line  testing . Job get timeout after 20 mins.

BODS job: JOB_RESULTS_ECC_TO_PRD_BW in PP1 to push results to PRDB and BW? 

This has a timeout on the inbound FM (20 minutes).
Z_POS_IDOC_OUTBND_ECC_TO_BODS

Job has failed while processing 31998  IDOCS . 

It is time out after 20 mins. ",Change idoc status from 30 to 03 in order to reprocess in small batches.,Technical PR for improve performance. ,Software Issue,"The BODS changes improve performance by splitting the records that are sent to ECC into batches and only sending a defined number of records at a time (defined as a parameter within BODS).

The BPM changes improve the entry process by automatically re-processing some tasks that get stuck (due to locks). (this also replaces a manual workaround in production)

The ABAP changes have amended code to improve and speed up the performance of the entries processes, the generation of SOR's and Certificates processes and the results transfer processes.

BODS:
Current standard process to transport BODS jobs will be used (PR5863):
Export the development version of the BODS job 

Deployed under: RFC # 20568 ",Request for Change
"Created Problem Records for Selected Services, Total 1865",5867,Closed,OCR Exam Processing,Moderation Manager,5,OCR,09/04/2018 10:05:07,12/09/2019 08:57:00,Moderation Manager [https://moderationmanager.ocr.org.uk/ModerationHome.aspx] is Down,"Moderation Manager [https://moderationmanager.ocr.org.uk/ModerationHome.aspx] is down since Mar 31, 2018 11:46:05 PM BST from London - UK, Ireland - IE, Edinburgh - UK because HTTP 500 Error.Internal Server Error ""https://moderationmanager.ocr.org.uk/SSO/Authenticate.aspx?t=927A224CA08654CD56C92CDFE97B627BB65DB446D5BFBDBD592D60E79DA6315CAF703171F14EDAC56D340A0C8C74C1A84E3E8931060704F5C82666C6ED48D31A9710D5274512E09BB4CB43B5E0F50EE8CD9344A16EFA5BF746A942DB9E127F28E2A522F16EF5EE35B19CE6FE0466A73149A43BF971752031FED19468D20AF093BE909D42ADEE34A2B41D986FBA8640A1DD945BCCD00A8528A7212617012279BFF90B560D0D8F4224389F32114F8C9D92646812A7896B730D8D2B6B0B2FB941583210A91C6ED1A680059E15389EF48B5B5421F7BA5B883E6E19F5C5345433795B146B673F7ACB2876AA6B422CCED606D51D410426943E7B0AEA8D7316A6FB2D33E77F4965&ReturnUrl=/ModerationHome.aspx"" Please log a Priority 2 Incident and assign this to DevOps Portals as follows. <br /><br />Category: OCR Services, OCR Exam Processing <br />SubCategory: Moderation Manager [https://moderationmanager.ocr.org.uk/ModerationHome.aspx] <br /><br />The website is Down.<br />Down Time is March 31, 2018 11:46 PM BST <br />Down Reason is HTTP 500 Error.Internal Server Error ""https://moderationmanager.ocr.org.uk/SSO/Authenticate.aspx?t=927A224CA08654CD56C92CDFE97B627BB65DB446D5BFBDBD592D60E79DA6315CAF703171F14EDAC56D340A0C8C74C1A84E3E8931060704F5C82666C6ED48D31A9710D5274512E09BB4CB43B5E0F50EE8CD9344A16EFA5BF746A942DB9E127F28E2A522F16EF5EE35B19CE6FE0466A73149A43BF971752031FED19468D20AF093BE909D42ADEE34A2B41D986FBA8640A1DD945BCCD00A8528A7212617012279BFF90B560D0D8F4224389F32114F8C9D92646812A7896B730D8D2B6B0B2FB941583210A91C6ED1A680059E15389EF48B5B5421F7BA5B883E6E19F5C5345433795B146B673F7ACB2876AA6B422CCED606D51D410426943E7B0AEA8D7316A6FB2D33E77F4965&ReturnUrl=/ModerationHome.aspx""<br /><br />Thank you for using Site24x7 service.<br /><br />For questions or concerns regarding your account, please send mail to support@site24x7.com",Workaround uses a host file on the ModMan server to use spocrap008 directly to access Interchange.,"Following LB upgrades the SSL verification has become stricter – as the individual nodes (as opposed to the offloaded LB SSL) were presenting out of date certificates,  this caused it to fail.",Software Issue,This PR related to the old Modman platform which has now been upgraded - see attached email from Lynette.,None
"Created Problem Records for Selected Services, Total 1865",5869,Closed,IELTS Services,IWAS,3,Cambridge English CSD ,10/04/2018 07:50:46,26/06/2019 12:59:00,IELTS-6726 Allocation group report shows details for all Centers irrespective of Open/Closed Centers,"As per the current implementation, the query used to pick the allocation group report is for both the open and closed centers. Here, I have attached a sample report shared by user which is containing for all centers highlighting the closed centers. This report should contain only open centres.",,Software need to be changed from reporting all centres to only open centres.,Software Issue,"In UAT and signed off. waiting to be deployed into production in Jan 2019
Fix deployed under RFC 34045",Request for Change
"Created Problem Records for Selected Services, Total 1865",5872,Closed,CE Exam Processing,Metrica - CE,5,Cambridge English ,10/04/2018 15:01:26,30/04/2018 15:00:02,Not able to autosave and update test timer,"Not able to save and update timer if we stay on current question for longer time and refresh the test. If we refresh the test, the timer time is getting updated to the time that at which question was opened. Actually it should refresh with the time at which the test was refreshed.",Added logic to auto-save time taken after we stay on certain questions for longer time and shared the code in attached document. ,Code changes identified and provided to Metrica team further action under MET-7870,Software Issue,"Auto-save Functionality should save Response as well as Time Taken. We have to add logic to auto save time taken after we stay on certain questions for longer time. 

Appropriate prioritisation by Metrica team, backlog reference MET-7870",Backlog Item
"Created Problem Records for Selected Services, Total 1865",5873,Project Initiated,Internet,Internet,5,Cambridge English ,11/04/2018 08:03:15,,Purchase of http://cambridgeassessmentenglish.com domain,"SR142601 in ITSM converted to problem record.  

The domain is owned by West Egg Projects Ltd of which Patrick McLeish is the Director, and presumably Patrick is the only administrator of the GoDaddy account.  

The http://cambridgeassessmentenglish.com domain currently just goes to a GoDaddy holding page

This PR needs to wait for Patrick’s return to the office.",,The domain is owned by an employee of the company who is currently on sick leave.,Process Failure,,
"Created Problem Records for Selected Services, Total 1865",5874,Closed,CCMS,CCMS Logging In/RSA,5,CIE OCR,11/04/2018 10:19:51,27/06/2019 08:28:00,Issues with Receiving CCMS One Time Token,"Some users are experiencing delays with their one time access tokens for CCMS. Once they receive the token via email, it has exceeded the 30 minute window and is no longer valid.","Investigation of logs has indicated that the emails are being sent within a minute of the token request being generated, which suggests that it could be an issue with the email service providers. However, work is being done on the CA sender address email to see if this rectifies the issue for affected users. ",BT are treating some emails as suspicious and not releasing them in a timely fashion,Third Party/External issue,"A Sender Policy Framework record has been set up by EUS for cambridgeassessment.com and tokens should be sent from this domain, then they will be trusted. 
JIRA raised https://btsservice.atlassian.net/browse/CCMS-8626 

This has been tested on pre-production, awaiting go ahead from CI and OCR to install this on production, If it occurs again.",Backlog Item
"Created Problem Records for Selected Services, Total 1865",5875,Closed,Integration and API,BizTalk,5,Cambridge English CSD ,11/04/2018 13:34:45,31/05/2018 08:27:06,CBT processing issue in high load scenario,"It is observed that in high load scenario with the present processing rate, some messages are failing to process. Further with the requirement to double the processing rate, the present solution both at Connect+ and BizTalk needs to be analyzed if it can support the extended load or some code changes will be needed.",Polling frequency is adjusted so that not more than 20 messages hit the Connect+ url at once.,"Analyze the existing solution in BizTalk and Connect+ to identify any issue in high load scenario.
The issue was let’s assume we polled a batch of 25 candidates from connect plus using C+ list queue service and sent ack back to C+ of the successful receipt. 

Now our BizTalk process is processing those 25 candidates further. Here processing means polling CI, FA and AH from connect plus for individual candidate.

Let’s assume while polling CI, FA and AH from connect plus for the 23rd candidate failed for some reason. (let’s assume C+ service did not responded timely), the loophole in our current 
processing was we will no longer process/ Ignore the 24th and 25th candidate. (Here processing also means polling CI, FA and AH from connect plus for individual candidate) 
- Ideally we should keep on processing  the 24th and 25th candidate and only 23rd candidate is marked as error. If we don’t fix the loophole, 23rd, 24th and 25th will be marked as error. 
",Capacity issue,"Code fix needs from Biz-talk end. Need to planned for deployment 
PRD deployment on 29/04/2018
RFC#20218",Request for Change
"Created Problem Records for Selected Services, Total 1865",5877,Closed,IELTS Services,IELTS Web CE Admin Functionalities,5,Cambridge English ,11/04/2018 14:37:14,14/12/2018 10:18:00,IELTS-6680 - Overall Completed EOR Report not working for all centres,"Problem: As per current implementation, if the ‘Overall Completed EOR Report’ is generated for two test types (e.g. CB IELTS and PB IELTS), the report is always considering SELT enabled PB tests regardless of whatever combinations of two tests the partner user is selecting from UI end check-boxes.

Here, I am attaching a document (PFA: Replication_Steps_for_Incident_566387.docx) to guide you through the whole replication steps for four different scenarios where the application is taking combinations of two test types before processing the report and in all these attempts, it is only generating reports for PB SELT IELTS tests.

This is the reason why the above report is not behaving correctly for different user inputs.

Business Impact: Since partner users are not aware of such implementation, they often find no data in the above report with no definite clue why data is not appearing into the report even after selecting more than one test type before processing the report.","If requested, the actual data for the above mentioned report are shared based on the centre and session details as extract.",This was never design to do the functionally that the business was trying to achieve. this is being looked at under backlog.,Requirements Issue,"RRaised as IELTS-6680, targetted for IWAS R6.",Backlog Item
"Created Problem Records for Selected Services, Total 1865",5878,Identified,Operating System,Windows Server,3,CSD ,12/04/2018 08:52:23,,Significant number of servers have not been patched recently,We have many servers which have not been patched for a significant period of time. This is across both our Linux and Server estate.,Servers can be patched individually if and when instability occurs,Regular patching has not been part of our strategy,Infrastructure/Networks/OS Issue,,
"Created Problem Records for Selected Services, Total 1865",5879,Closed,Network,Switches,5,Cambridge English CIE CSD OCR,12/04/2018 14:14:35,21/06/2018 14:19:00,Network connectivity issues,"Loss of Outlook connection to Exchange
Loss of connection to Ivanti, 8x8 and RDS
",,Root cause is due to the load balancer being under high CPU load when the config sync was applied which caused the MCP process to fail a heart beat and subsequently result in the TMM process restarting as a fail safe,Capacity issue,"I discovered that this is a duplicate of problem record 5922 which is closed, with incident 568596.

Therefore I will close this record has a duplicate.",None
"Created Problem Records for Selected Services, Total 1865",5882,Closed,Integration and API,BizTalk,5,Cambridge English CIE ,13/04/2018 08:33:00,15/03/2019 15:54:00,Load balancer issue - Automarker Façade ,"Automarker Façade -Load balance issue
http://connectprdinternalsvc_lb.ucles.internal/Ca.ConnectPlus.TestResponse.AutoMarkerFacade/AutoMarkerFacade.svc

Note from Network Team (Email Also attached)
Hi Rahul,

In response to the task assigned to Networks team regarding the Automarker Façade service issue, I can confirm that there was a load balancer issue yesterday. 

The load balancer issue was quickly rectified but has obviously had some impact on certain services. Brian Simpson has been in communication with Grant, who has been advised to open a problem record.

The load balancer problem is under root cause investigation with our 3rd party support partners.

Regards,
Julian

","Manual reprocess of CBT responses from Biz-talk or Connect Plus when business reports Incidents 
",The issue was seen at the time. Extensive investigations took place but a definite cause was not identified. ,Unidentified cause,"No fix applied but due to no further issues occurring, it has been agreed with Integration and API team that this can now be closed, (see activity history).",None
"Created Problem Records for Selected Services, Total 1865",5883,Closed,Cambridge Assessment Websites,Insite,5,Cambridge English CIE CSD OCR,13/04/2018 12:05:35,15/08/2018 09:07:00,Webpart issue on Insite,"We have recently discovered a problem with the 'Related News' section at the bottom of Insite news stories. It is incorrectly showing news stories with a future publish date / time. You can see the example below where a Best Companies story was accessible before it should have been (determined by published date).

I have just replicated this issue and can confirm this wasn't a one-off.

This webpart was developed by Cognizant a few years ago, and I hope that they might be able to fix this issue, if we still have a support contract in place encompassing Insite.",,Root cause was undetermined. ,Unidentified cause,no action taken but issue is no longer presenting itself. Decided to take no action at present. Will reopen a new record if problem presents itself again. It may have been resolved as part of update but this is undermined. ,Will Not Fix
"Created Problem Records for Selected Services, Total 1865",5884,Closed,CE Exam Processing,Metrica - MLA,5,Cambridge English ,13/04/2018 12:19:33,30/04/2018 15:05:54, Anonymous Session Reference Cannot be copied in Firefox,"The ""Anonymous session reference"" cannot be copied from the sessions in FireFox browser but working in Chrome.The solution to this would be to keep the textbox in read only format but enable it so that the text could be copied

",The text can be copied in chrome browser.,Code changes identified and provided to Metrica team further action under MET-7872,Software Issue,"Appropriate prioritisation by Metrica team, backlog reference MET-7872",Backlog Item
"Created Problem Records for Selected Services, Total 1865",5886,Closed,Network,Server Load Balancers,5,CSD ,16/04/2018 05:19:45,20/04/2018 14:27:45,Automarker Facade service down intermitently on 12th April In PROD,"The URL  http://connectprdinternalsvc_lb.ucles.internal/Ca.ConnectPlus.TestResponse.AutoMarkerFacade/AutoMarkerFacade.svc
was unavailable between 1430 to 1500 hrs on 12th April.

As per network team investigation (Julian Doggett):
There was a load balancer issue which has been rectified. Root cause is being investigated by our 3rd party support partners. Advice is to open a problem record to find out why the Automarker façade service did not resume after the load balancer issue was rectified.",,This is same with PR 5882,Unidentified cause,"This is same with PR 5882 therefore closing, see activity history",None
"Created Problem Records for Selected Services, Total 1865",5890,Closed,Integration and API,BizTalk,5,Cambridge English CIE ,16/04/2018 10:37:04,10/10/2019 08:56:00,BIZMQ-136 Upgrade Connect Plus Feed DB,"As part of the ODS Master job, it used to poll data from ""Connect Plus Feed"" DB (PP2 and PROD server details as below) and populate ODS tables. 
As per PR 5678 and PROD RFC 20107 Integration Team has disabled Connect Plus CBT responses processing from ODS Master job. Hence ""Connect Plus Feed"" DB  has now become source data for SAS rather than ODS tables. 

This ""Connect Plus Feed"" DB has now required to be :
1. Upgraded to latest version of SQL Server
2. Data retention and archiving policy would be identical like existing legacy ODS databases and tables 

This particular PR is to track the progress of the same.

Server Details:
PP2: SUJNTSQ009/SQL01
PROD: UTLPRD01A/SQL01


",No work around as proactive PR. ,"SQL server performance is poor
Data retention and archiving policy needs to be changed, implement same like ODS",Capacity issue,"RFC 37231- deployment complete to Production 

Improve the SQL server performance 
Data retention and archiving policy implement same like ODS",Request for Change
"Created Problem Records for Selected Services, Total 1865",5891,Closed,CE Exam Processing,Metrica - CE,5,Cambridge English ,16/04/2018 11:18:23,30/04/2018 15:04:50,Metrica - Bulk Upload process display unfriendly Sql exception raised message,Bulk Upload process displays unfriendly Sql exception raised message when incorrect data in upload file.,Advise the user correct data and re-try. ,Code changes identified and provided to Metrica team further action under MET-7871,Software Issue,"Appropriate prioritisation by Metrica team, backlog reference MET-7871",Backlog Item
"Created Problem Records for Selected Services, Total 1865",5892,Closed,LIBS,LIBS Cambridge English,5,Cambridge English ,16/04/2018 12:12:32,27/04/2018 12:07:21,LIBS - Unable to preview tests - SPJNTAP040,"Hello BTS,

Several members of staff here an assessment have reported that they're unable to preview tests in LIBS. We suspect that the Bundle Builder service may be down?

Example Test:

Bank ID: IELTSLCB
Test ID: 16B43
Test Year: 2017

Error:
[cid:image001.png@01D3D009.C80721B0]

Steps to replicate:


- Locate test in LIBS
- From 'Test details' tab, click:
- Create CBT > Preview CBT
- Error ""Socket Error #10061 Connection refused.""

Can you look into resolving this as soon as possible please?

This problem appears to be affecting all LIBS users.

Previous similar problems had been reported in incidents #518549, #520199 and PR #5296.


Edward Hodson
Systems Support Specialist, SSD
1 Hills Road, Cambridge, CB1 2EU
T: +44 (0) 1223 552600

Cambridge Assessment English
Language Assessment
Part of the University of Cambridge
www.cambridgeenglish.org

We help people learn English and prove their skills to the world",,Rasied in Error - dup of 5296,Unidentified cause,Rasied in Error - dup of 5296,None
"Created Problem Records for Selected Services, Total 1865",5896,Closed,LIBS,LIBS Cambridge English,5,Cambridge English ,17/04/2018 11:13:53,24/07/2019 12:24:00,Error while producing attribute report in LIBS CE,CE LIBS users are getting error while producing the attribute report. The users are getting the error when they are selecting the tasks through query screen (condition –itemid is not null) and then trying to generate the attribute report (selecting any attribute eg. Item_type). ,Removing the extra/older logs from the backend can resolve the problem but we are not sure if that should be done as it keeps the publishing record for the task.,"The query for the report is present in AttRpt.pas file. The user is trying to produce the attribute report and the query for this report is picking the data from many tables. One of the tables used is ITEM_CB_MARKSCHEMES, there is a column in it ‘ITEM_CB_MS_SENT_DATE’. This column contains the date when the markschemes/response id related data is sent to automarker. Whenever the task is published to automarker more than once more than one date is present for the task in the backend. While only one record for task is expected this is the reason due to which the error is being thrown. ",Data Issue,"Transferring to Jira Backlog as agreed with Product Owner

Jira CEL-1579",Backlog Item
"Created Problem Records for Selected Services, Total 1865",5897,Closed,Network,Switches,3,CSD ,17/04/2018 14:47:00,31/10/2019 10:28:00,Triangle core switch crashed when adding a name to an existing VLAN,"Cisco Bug: CSCvi95583
A switch may crash when adding a name to an existing VLAN like this:

CMD: 'vlan XX' 19:18:33 BST Thu Apr 5 2018
CMD: ' name VLANNAME' 19:18:41 BST Thu Apr 5 2018


Apr  5 18:19:14.263: %VSLP-SW2-3-VSLP_LMP_FAIL_REASON:  Disabled by Admin reload
Apr  5 18:19:14.263: %VSLP-SW2-2-VSL_DOWN:   Last VSL interface went down
sp_reset_slcp():Not powering down the processsor


 19:19:14 BST Thu Apr 5 2018: General Protection Fault Exception:   : vector D, PC = 0x252CA48z",None at this time. Refraining from adding a name would certainly prevent the crash.,No root cause identified,Unidentified cause,This has not occurred again.,None
"Created Problem Records for Selected Services, Total 1865",5899,Project Initiated,Network,Firewalls,2,CSD ,18/04/2018 06:46:44,,Checkpoint QoS policy on n-fwi01-prd caused high CPU and high latency,Checkpoint QoS policy on n-fwi01-prd caused high CPU and high latency,,Bug,Infrastructure/Networks/OS Issue,,
"Created Problem Records for Selected Services, Total 1865",5900,Closed,IS Services,Ivanti Service Manager,5,CSD ,18/04/2018 07:16:21,23/04/2018 14:54:11,Two alerts did not create new incidents in Ivanti,"Two incoming emails did not log an incident in Ivanti.  All other updates and new incidents were logging without issue.

Attached screenshot shows the two alerts that did not log.",Incidents created manually by Service Desk Analyst,"Suspected root cause is that the emails were moved directly to the Processed folder, bypassing the Ivanti folder.",Skills/knowledge issue,"The emails were tested in the Staging tenant and both successfully logged incidents.  The most likely root cause is that the emails were moved directly to the Processed folder, bypassing the Ivanti folder and that is why the calls did not log.  All other updates and new incidents received at the same time were logged successfully by Ivanti.  This PR will therefore be closed.",Training
"Created Problem Records for Selected Services, Total 1865",5903,Closed,Database,Oracle,4,CSD ,18/04/2018 09:17:13,14/05/2018 07:58:54,Invalid MVIEWS in ORTPRD01,We are constantly getting invalid materialized views in ORTPRD01 that triggers a monitoring alert. We need to identify the root cause to know why the mviews are getting invalidated on a weekly/daily basis to avoid manual compilations.,,"We have identified the underlying objects that were getting invalidated on a daily basis for a week. However, after three weeks of investigating, it never re-occurred again. It looks like the underlying objects are now compiling successfully.",Unidentified cause,No action was taken as the underlying invalid objects are now compiling successfully. It no longer shows up in the invalid list of our monitoring checks.,None
"Created Problem Records for Selected Services, Total 1865",5904,Closed,File/Print Services,File Server,3,CSD ,18/04/2018 10:09:05,25/03/2019 16:35:00,Fin_Share Permissions,"Several users have been identified as having elevated permissions to a  ""Restricted"" folder in the FIN_share area 

Group causing access on the reported users is CSDTransformationTeam this resolved the initial reported problem since then further access has been discovered and is awaiting the output of the security Audit  ",All users have been removed from CSDTransformationTeam ,Permission leakage on shared folders.,Security Issue,Generated reports through Varonis on a pre-defined time scale which are sent out to data owners to address permissions issues. Affected users have had access removed and current access is reviewed where necessary. This PR can be closed - CN 22/02/2019.,Process Change
"Created Problem Records for Selected Services, Total 1865",5907,Closed,EPS,EPS - Infrastructure,2,CSD ,19/04/2018 10:44:29,30/04/2018 08:22:06,Loss of connectivity to Brahms WPAR and DEV LPAR,Loss of connectivity to Brahms WPAR and DEV LPAR while try to connect.,Restart the Brahms LPAR,The problem occurred because a piece of code in development was creating an invalid package in Oracle and this in turn was consuming all the resources.,Software Issue," The code was backed out and rewritten in such a way that the problem did not occur.

Extra monitoring has been added to hopefully catch this type of problem sooner",Incident Fix
"Created Problem Records for Selected Services, Total 1865",5908,Closed,SAP,ERP - Certs,3,CSD ,19/04/2018 12:19:38,19/04/2018 13:44:42,ECC: SOR and CERT Idoc creation performance Issue,"SOR Print job has failed .
I have  triggered  Z_DA_LIVE_SOR_PRINt_PSV  job on 15th  .  No. of  Candidate would be 138K 
Job get failed after execution of   16.75 hrs .
But when i chcek into ZEXP_CERT_PR|INt table , i can see the records for my test centre .


Attached job log deatils .",No current workaround,Handle in HPQC,Unidentified cause,Handle in HPQC,None
"Created Problem Records for Selected Services, Total 1865",5911,Closed,CE Exam Processing,Metrica - CE,5,Cambridge English ,20/04/2018 08:13:50,30/04/2018 15:01:31,Terrible Metrica performance/speed," Major issues importing csv files to sessions via the Add Entries button. The speed of this task has always been very very slow, but during 17_5 released this had been resolved and Metrica should work much faster and allow to import more data at once.In testing the performance was good but in production it got  really really slow - far slower than it was in testing.This was supposedly all OK after the UAT, but it is now really bad again.",Need to import less data at a time.,"Issue replicated in UAT, Dev team to investigate",Software Issue,"Appropriate prioritisation by Metrica team, backlog reference MET-7876",Backlog Item
"Created Problem Records for Selected Services, Total 1865",5912,Closed,Interchange Services,Interchange,4,OCR,20/04/2018 08:34:33,14/05/2018 15:59:21,Interchange: Coursework marks submitted by Centre in Enter Coursework marks screen is changing to -1,"We have an issue within Interchange, where once a centre have submitted their marks for an assessment, their mark is changing to -1. Please see print screen below.

[cid:image001.png@01D3CFF6.11D89F30]
I recall us having a similar issue last year. I shall check through my older requests, but I think they will be saved within my old logs, before ivanit.

",,For new specs the report is looking at wrong column so is displaying -1 as data is blank,Software Issue,"Change report so that for new specs the report gets data from the correct column.

New requirement to show mark, rather than -1. Added to backlog as INT-397. Jason Few (OCR) to confirm the priority of fixing because the mark can be seen on other reports.
",Backlog Item
"Created Problem Records for Selected Services, Total 1865",5913,Closed,EPS,EPS - Scaling and Grading,5,CIE ,20/04/2018 10:03:51,08/08/2018 08:53:00,User is unable to remove Q grade from Bulk Q Grade Amendment screen in CIE Malpractice,"In CIE Malpractice, if we open a incident and then go to Incident Tasks --> Bulk Q Grade Amendments --> Query for a specific 
Assessment --> In Entries area (form FNMALI20), when there are more than 1 candidate on the list and some of them are in Pending (Q) state 
and some in Not Withheld (N) state, if we select a candidate and remove the Q grade, the change does not persist.

Next time when we open the incident, in Entries area, we can check that still Q grade is assigned to that candidate, nothing changed.","As a workaround, we have to select the specific candidate by placing additional filter at Session/Centre/Candidate No/Assessment level
to have only one record in the Entries area. Then need to select the candidate record to 'Entries to Amend' area and remove the Q grade. 
It will solve the issue.",This problem was a process error where multiple candidates appear in the Malpractice selection. There has been no repeat of the problem in the 2018 series.,Process Failure,Process review.,None
"Created Problem Records for Selected Services, Total 1865",5915,Closed,Integration and API,SnAPI,5,CSD ,20/04/2018 14:38:22,28/06/2018 13:03:00,Standardisation Visitors Cannot be found in xPlan,"As reported by Katy today you are unable to find standardisation visitors in XPlan this is a problem with the logic we are using to set up the visitor in Xplan. For example this is a standardisation record we have received from EPS:

9719/8685/01SpanishLanguage(Speaking)(c/w)|21-APR-18|The Triangle Building Shaftesbury Road Cambridge|Mr Philip Noel Scully|386715|PHIL_SCULLY@HOTMAIL.COM|OCR

As highlighted we receive just the full name as one string not split between the component parts. When calling XPlan we set the first word in the string as the first name and second word as the surname. So in this instance it would be: 

First Name: Mr
Surname: Philip

We propose to change this so that the last word is the surname and the rest of the string is the first name, so it would be:

First Name: Mr Philip Noel
Surname: Scully

Is this acceptable? If it is we can look to make the change sometime next week into production. In the meantime you probably need to search for people first name in xplan surname value.
",Search by First name in the surname section in Xplan,"As reported by Katy today you are unable to find standardisation visitors in XPlan this is a problem with the logic we are using to set up the visitor in Xplan. For example this is a standardisation record we have received from EPS:

9719/8685/01SpanishLanguage(Speaking)(c/w)|21-APR-18|The Triangle Building Shaftesbury Road Cambridge|Mr Philip Noel Scully|386715|PHIL_SCULLY@HOTMAIL.COM|OCR

As highlighted we receive just the full name as one string not split between the component parts. When calling XPlan we set the first word in the string as the first name and second word as the surname. So in this instance it would be: 

First Name: Mr
Surname: Philip",Requirements Issue,"
We propose to change this so that the last word is the surname and the rest of the string is the first name, so it would be:

First Name: Mr Philip Noel
Surname: Scully
",New feature request
