,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,application_type,pub_rec_bankruptcies,emp_length_range
3011,997918,1223033,17400,17400,17400, 60 months,18.25%,444.22,D,D5,Ruby Tuesday,3 years,RENT,48000,Source Verified,11/1/2011,Charged Off,n,"  Borrower added on 11/15/11 > Hi,<br><br>My reason for this loan is two-fold: consolidate debt and reduce my interest rates.<br><br>I bought a house under my parents' name and needed to make a substantial down-payment by using cash advances. Some credit cards were at a 0% promotion and now have jumped to 24.99% APR. I am looking to consolidate my debt. My bills and rent are always paid on time. This will not only reduce my interest rate but consolidate my bills into one payment. My goal is to rent out this house as additional income on top of my full-time job. <br> Borrower added on 11/23/11 > To answer a few questions posed:<br><br>I have worked at my current place of employment for over 2 1/2 yrs. I pay all my bills on time and usually try to pay more than required. As stated above, I have two credit cards with @24.99% APR that I would like to pay off with the 18.25% loan.<br><br>The credit cards originally had a 0% APR for cash advances. This was used for a down payment on the house. It was not from frivolous spending. Before the cash advance, my credit cards had low balances which I'd pay off before the end of the month.<br><br>As for my monthly budget:<br><br>Housing cost: about $500 + $50 util. <br>Credit Cards: $500/mos. Which would be transferred to loan payments, when CC's are paid off with loan<br>Transportation: $100<br>Food/Misc.: $300<br><br>I hope this helps. Please feel free to send further questions. Thank you to those who have supported the loan!<br><br>",debt_consolidation,Freedom 999,100xx,NY,3.8,0,Nov-96,1,,,8,0,8802,35.90%,19,f,0,0,13233.91,13233.91,5648.18,5901.54,0,1684.19,16.8419,14-Mar,56.32,14-Jun,INDIVIDUAL,0,0-10 years
3012,904606,1125157,16000,16000,16000, 60 months,17.58%,402.65,D,D4,progress rail services,3 years,RENT,32000,Source Verified,11/1/2011,Current,n,,debt_consolidation,debt consolidation,070xx,NJ,16.73,1,Jul-00,1,9,,7,0,15793,53.40%,18,f,2676.84,2676.84,21307.03,21307.03,13323.15,7983.88,0,0,0,16-May,402.65,16-May,INDIVIDUAL,0,0-10 years
3014,1027372,1256723,12800,12800,12800, 60 months,8.90%,265.09,A,A5,sterling autobody,3 years,MORTGAGE,50400,Source Verified,11/1/2011,Current,n,,debt_consolidation,consolidation,891xx,NV,19.9,0,4-Feb,0,,,10,0,6352,22.80%,13,f,1833.01,1833.01,14005.29,14005.29,10966.99,3038.3,0,0,0,16-May,265.09,16-May,INDIVIDUAL,0,0-10 years
3016,1027182,1256393,18000,18000,18000, 60 months,22.06%,497.76,F,F4,Dorn VA Medical Center,2 years,OWN,49989,Source Verified,11/1/2011,Charged Off,n,  Borrower added on 11/17/11 > I am an excellent borrower because I pay my monthly loan amounts in advance and more that the minimum payment required.  <br>,debt_consolidation,Debt Consolidation Loan,291xx,SC,16.18,0,May-99,2,71,,18,0,12340,96.40%,42,f,0,0,12433.62,12433.62,4225.07,6216.13,0,1992.42,24.4407,13-Sep,497.76,14-Jan,INDIVIDUAL,0,0-10 years
3022,1026962,1256149,8000,8000,8000, 36 months,14.65%,275.96,C,C3,YDI  Headstart,10+ years,RENT,33000,Source Verified,11/1/2011,Charged Off,n,,debt_consolidation,Pay of cards,871xx,NM,18.36,1,Feb-87,2,19,87,7,1,3017,62.90%,17,f,0,0,7722.84,7722.84,5903.07,1819.77,0,0,0,14-Apr,275.96,16-May,INDIVIDUAL,1,10+ years
3027,823400,1031964,10800,10800,10800, 60 months,20.30%,287.94,E,E5,united states postal service,7 years,MORTGAGE,95000,Source Verified,11/1/2011,Charged Off,n,  Borrower added on 11/15/11 > this will help greatly to finish some projects around the house driveway etc and pay off a few credit cards thanks so much!<br>,debt_consolidation,consolidation,553xx,MN,4.07,0,Mar-00,3,,,14,0,7878,58.40%,29,f,0,0,1146.8,1146.8,429.9,716.9,0,0,0,12-Apr,287.94,16-May,INDIVIDUAL,0,0-10 years
3028,1025950,1255527,17600,17600,17350, 60 months,13.49%,404.89,C,C1,New York Life Insurance Co,3 years,MORTGAGE,90000,Verified,11/1/2011,Charged Off,n,"  Borrower added on 11/15/11 > We are using these funds to pay off credit card debt, we have excellent credit and always pay our bills on time.<br><br> Borrower added on 11/15/11 > we would like to pay off our credit card debt, we have excellent credit and always pay our bills on time.<br>",debt_consolidation,Credit Card Debt,062xx,CT,19.05,0,Oct-96,2,,,11,0,18022,62.10%,31,f,0,0,10321.27,10174.38,4852.7,3678.13,0,1790.44,322.2792,13-Nov,30.49,14-Feb,INDIVIDUAL,0,0-10 years
3038,1025947,1255524,20000,20000,20000, 60 months,14.65%,472.14,C,C3,,10+ years,MORTGAGE,50000,Verified,12/1/2011,Charged Off,n,,small_business,Small Business Loan,330xx,FL,18.14,0,Sep-91,1,,,14,0,14779,51.90%,33,f,0,0,7581.85,7581.85,3453.45,3154.62,23.57780089,950.2,9.28,13-Feb,472.14,13-Jul,INDIVIDUAL,0,10+ years
3041,1026594,1255768,30000,30000,29997.05981, 60 months,13.49%,690.15,C,C1,,10+ years,MORTGAGE,135000,Verified,11/1/2011,Charged Off,n,"  Borrower added on 11/15/11 > My company is in consideration for state and Federal contract work. In order to prepare for this, I will require an infusion of short-term working capital to cover operational costs. <br>",small_business,Preparing for new federal contracts,224xx,VA,7.8,0,Sep-86,1,,,11,0,19617,45.60%,35,f,0,0,28376.87,28371.12,16012.26,9968.74,0,2395.87,431.2566,15-Jun,705.15,15-Jun,INDIVIDUAL,0,10+ years
3046,1023170,1251988,32275,32275,30819.63653, 60 months,11.71%,713.22,B,B3,Cablevision,2 years,RENT,77000,Verified,11/1/2011,Current,n,,debt_consolidation,Debt Consolidation,074xx,NJ,18.12,0,Jun-87,0,,,7,0,32345,63.30%,16,f,4815.14,4777.7,37788.12,35469.25,27459.86,10328.26,0,0,0,16-May,713.22,16-May,INDIVIDUAL,0,0-10 years
3047,1011358,1238439,35000,35000,35000, 36 months,18.25%,1269.73,D,D5,,n/a,RENT,162000,Verified,11/1/2011,Charged Off,n,"  Borrower added on 11/15/11 > Purpose to Reduce Bank Of America NCL Acct; Visa Signature, American Express and CHASE Bank Credit Card Balances.<br>",debt_consolidation,Debt Consolidation Loan,917xx,CA,19.81,0,Nov-82,1,,,17,0,86994,53.90%,33,f,0,0,28924.14,28924.14,17609.93,9733.56,63.40020317,1517.25,257.9325,14-Jun,505.75,16-May,INDIVIDUAL,0,n/a
3048,1026310,1255475,7800,7800,7650, 60 months,9.91%,165.39,B,B1,colon and digestive health specialists,2 years,MORTGAGE,50004,Verified,11/1/2011,Current,n,  Borrower added on 11/16/11 > Thank you for your consideration.<br><br> Borrower added on 11/16/11 > debt consolidation.<br>,debt_consolidation,debt consolidation,850xx,AZ,10.97,0,Nov-99,0,,,10,0,8846,62.70%,30,f,1125.41,1103.78,8765.7,8597.11,6674.6,2091.1,0,0,0,16-May,167.85,16-Apr,INDIVIDUAL,0,0-10 years
3050,1026463,1255647,6300,6300,6300, 36 months,14.65%,217.32,C,C3,sky powersports,6 years,MORTGAGE,60000,Not Verified,11/1/2011,Charged Off,n,  Borrower added on 11/15/11 > car purchase<br>,car,Duster,336xx,FL,3.66,0,6-Feb,1,,,7,0,4824,50.20%,10,f,0,0,5554.14,5554.14,3886.48,1327.04,0,340.62,3.4062,13-Dec,217.32,14-Apr,INDIVIDUAL,0,0-10 years
3051,1026434,1255617,18000,18000,17925, 60 months,11.71%,397.77,B,B3,Hanna  Campbell  and  Powell  LLP,7 years,MORTGAGE,60000,Not Verified,11/1/2011,Charged Off,n,"  Borrower added on 11/16/11 > I am simply looking to consolidate all of my credit card debt, obtain a lower interest rate and pay the debt off sooner. <br>",debt_consolidation,Debt Consolidation,442xx,OH,16.2,0,Dec-95,2,,,11,0,6613,35.40%,30,f,0,0,12114.84,12064.45,5685.04,3445.27,0,2984.53,533.9034,13-Nov,397.77,14-Mar,INDIVIDUAL,0,0-10 years
3053,1026311,1255476,16000,16000,16000, 36 months,12.42%,534.65,B,B4,,n/a,OWN,72000,Source Verified,11/1/2011,Charged Off,n,  Borrower added on 11/15/11 > I would like to pay off some of the debt I have now so I can make one low monthly payment.<br>,debt_consolidation,Debt Consolidation,770xx,TX,11.08,1,Dec-72,0,10,,5,0,9620,35.10%,11,f,0,0,6967.17,6967.17,4522.62,1758.27,26.72195195,659.56,6.54,12-Dec,935.84,13-Apr,INDIVIDUAL,0,n/a
3056,1024126,1253236,12000,12000,12000, 60 months,8.90%,248.52,A,A5,Grand Street Settlement,1 year,RENT,50000,Source Verified,11/1/2011,Charged Off,n,,small_business,Small_Business Loan,100xx,NY,3.89,0,Oct-99,0,,,8,0,201,2.30%,26,f,0,0,9262.73,9262.73,6124.55,2298.87,0,839.31,146.349,14-Oct,248.52,15-Apr,INDIVIDUAL,0,0-10 years
3072,1026174,1255326,16500,16500,16400, 60 months,11.71%,364.62,B,B3,"Russ Hadick & Associates, Inc",4 years,MORTGAGE,33000,Verified,11/1/2011,Charged Off,n,  Borrower added on 11/15/11 > am buying a hospitality recruiting franchise through a 20 year old hospitality company. I am using this money to pay startup and franchise fees which will immediatly allow access to active clients with current job orders in  the database. The parent company provides training and ongoing support.   I am also free to develop my own clients who are not already signed with the parent company. I have 4 years recruiting experience.<br> Borrower added on 11/16/11 > I have been very dilgent  in debt/loan repayment over the past 10 years. I currently maintain a very good credit rating.<br>,small_business,Small Business,454xx,OH,12.07,0,Sep-89,1,,,11,0,2316,14.20%,22,f,0,0,2003.01,1990.89,824.41,630.51,0,548.09,5.83,12-Apr,364.62,12-Aug,INDIVIDUAL,0,0-10 years
3081,1025554,1254711,18650,18650,18650, 60 months,21.67%,511.6,F,F3,U.S. Postal service,10+ years,RENT,90000,Source Verified,11/1/2011,Charged Off,n,"  Borrower added on 11/19/11 > We are a party room rental and video game arcade. We feature an all inclusive party for one flat rate. We offer a multitude of games for general play and a premium game room for the mature using familiar gaming systems. We have a refreshment center that has snacks, non alcoholic beverages and music.<br>",small_business,Small Business,967xx,HI,14.19,0,Oct-95,2,31,,3,0,13789,80.20%,16,f,0,0,3678.61,3678.61,1095.71,1969.21,0,613.69,6.34,12-Jun,511.6,15-Sep,INDIVIDUAL,0,10+ years
3084,897096,1117647,15600,15600,15350, 60 months,17.58%,392.59,D,D4,Gowan Inc.,8 years,OWN,48000,Verified,11/1/2011,Current,n,  Borrower added on 11/15/11 > I want to purchase a lot that is for sale next door to my house and extend my property. <br>,major_purchase,Lot,770xx,TX,21.98,0,3-Nov,1,28,,9,0,4709,25.50%,16,f,2630.08,2588.24,20731.91,20399.03,12969.92,7761.99,0,0,0,16-May,392.59,16-May,INDIVIDUAL,0,0-10 years
3090,1025596,1254758,12000,12000,12000, 36 months,6.62%,368.45,A,A2,Active Interest Media,1 year,RENT,60000,Not Verified,11/1/2011,Charged Off,n,,debt_consolidation,Credit Card Consolidations,941xx,CA,8.86,0,Jan-99,1,,,9,0,10170,23.80%,29,f,0,0,5522.65,5522.65,4365.51,718.73,0,438.41,4.44,13-Jan,368.45,13-Jun,INDIVIDUAL,0,0-10 years
3091,1025583,1254745,12000,12000,11875, 60 months,16.77%,296.75,D,D2,Batavia Public Schools,10+ years,MORTGAGE,93000,Verified,11/1/2011,Charged Off,n,  Borrower added on 11/16/11 > I plan to pay down the higher interest credit cards. I have never been late or delinquent on a mortgage or credit card payment. I have been on my current job job for 15 years and excel in my profession. Thank you for your consideration.<br>,debt_consolidation,Relief Loan,601xx,IL,19.81,0,Oct-95,2,,,17,0,77839,93.80%,40,f,0,0,3198.28,3164.82,1078.01,1282.15,0,838.12,0,12-Aug,296.75,16-May,INDIVIDUAL,0,10+ years
3093,1025579,1254741,5000,5000,5000, 36 months,7.90%,156.46,A,A4,,n/a,RENT,40000,Not Verified,11/1/2011,Charged Off,n,,debt_consolidation,Debt ,917xx,CA,19.08,0,6-Dec,0,,,6,0,6566,51.70%,7,f,0,0,3903.74,3903.74,753.28,260.06,0,2890.4,520.08,12-Oct,75,16-May,INDIVIDUAL,0,n/a
3094,1025574,1254736,30000,30000,29575, 60 months,23.13%,847.96,G,G2,Live Nation,3 years,RENT,102500,Verified,11/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation Loan,902xx,CA,22.57,0,Apr-95,0,,,14,0,35174,97.30%,25,f,0,0,7810.5,7699.64,1687.56,4490.06,0,1632.88,15.44,13-Mar,100,13-Apr,INDIVIDUAL,0,0-10 years
3100,1024600,1253504,23000,23000,22950, 60 months,13.49%,529.11,C,C1,ExpertPlan,10+ years,MORTGAGE,45948,Verified,11/1/2011,Charged Off,n,,small_business,Suzie Q's Smokehouse Inc,641xx,MO,2.53,0,Nov-90,0,,,3,0,4746,38%,9,f,0,0,4913.07,4902.37,1954.13,1740.54,0,1218.4,11.57,12-Jul,529.11,12-Nov,INDIVIDUAL,0,10+ years
3102,1017526,1245704,25000,25000,24425, 60 months,10.65%,539.21,B,B2,Lompoc Valley Medical Center,10+ years,RENT,79000,Verified,11/1/2011,Current,n,,debt_consolidation,Debt,931xx,CA,14.92,0,Jun-84,0,,,10,0,10985,35.30%,24,f,3692.75,3608.25,28499.49,27843.3,21307.25,7192.24,0,0,0,16-May,539.21,16-May,INDIVIDUAL,0,10+ years
3105,1021832,1250595,7500,7500,7500, 60 months,19.03%,194.68,E,E2,Sovereign Bank,10+ years,MORTGAGE,150000,Not Verified,11/1/2011,Current,n,"  Borrower added on 11/15/11 > Small personal loan to fund some minor repairsand upgrades around the house (new furnace and HVAC work, other odds and ends.) that require cash as opposed to credit card (contractor/plumber fees, etc.). <br>Very stable, long term employment, great DTI, and a low and affordable debt profile.<br>",other,Personal Loan,027xx,MA,4.5,0,Dec-98,0,49,,10,0,9763,51.90%,19,f,1293.61,1293.61,10289.7,10289.7,6206.39,4083.31,0,0,0,16-May,194.68,16-Apr,INDIVIDUAL,0,10+ years
3114,1025108,1254242,2500,2500,2500, 36 months,9.91%,80.57,B,B1,Chiotle Mexican Grill,< 1 year,RENT,13200,Source Verified,11/1/2011,Charged Off,n,,other,Vacation Loan,443xx,OH,15.82,0,6-May,1,,,5,0,750,68.20%,7,f,0,0,528.43,528.43,304.19,98.11,0,126.13,1.27,12-May,80.57,12-Sep,INDIVIDUAL,0,0 years
3115,997046,1222115,30400,30400,30302.1073, 60 months,21.28%,827.22,F,F2,Wisconsin Womens' Business Initiative Co,3 years,MORTGAGE,110000,Verified,11/1/2011,Current,n,  Borrower added on 11/16/11 > I currently use my credit cards to finance rehab work on rental properties I purchase.  I can not obtain bank financing on these properties until at least 12 months after I finish the project.  I have done one other loan with lending club for a similar situation that I repaid in full as agreed.<br>,credit_card,Credit Card,532xx,WI,7.42,0,Nov-96,3,,,10,0,32499,85.70%,36,f,5414.35,5400.99,43837.72,43668.38,24985.66,18852.06,0,0,0,16-May,827.22,16-May,INDIVIDUAL,0,0-10 years
3117,1025100,1254234,8575,8575,8575, 36 months,19.42%,316.15,E,E3,kilby electric,< 1 year,RENT,27840,Not Verified,11/1/2011,Charged Off,n,  Borrower added on 11/14/11 > im trying to pay off my credit cards without damaging my credit<br>,debt_consolidation,credit free,331xx,FL,15.47,0,5-Nov,0,,,7,0,11463,98.30%,14,f,0,0,1104.38,1104.38,357.42,274.52,0,472.44,85.0392,12-Feb,316.15,12-Jun,INDIVIDUAL,0,0 years
3118,1025163,1250948,16000,16000,15750, 36 months,11.71%,529.22,B,B3,Marriott International ,7 years,RENT,42494,Source Verified,11/1/2011,Charged Off,n,,car,Auto Loan,208xx,MD,10.65,0,6-Oct,0,,,6,0,3,0.20%,9,f,0,0,12130.35,11940.88,8634.66,2472.06,0,1023.63,10.2363,13-Sep,529.22,14-Feb,INDIVIDUAL,0,0-10 years
3126,1024864,1254004,9600,9600,9600, 60 months,16.77%,237.4,D,D2,The Profission Partnership,6 years,RENT,60000,Verified,11/1/2011,Current,n,"  Borrower added on 11/15/11 > The funds are intended firstly for a couple of large expenses. Our car needs several repairs, the largest of which is a new transmission, and we want to buy a new bed.  After those, we would like to have money left over from these purchases to pay for some Christmas bills and to lower the balance on a closed credit line which carries a higher APR.   <br><br>My current position of employment is completely stable, I am a senior member of a team with years of experience.  <br><br>I have never missed a debt payment as I treat payment of debts as a priority in my budgeting.<br>",major_purchase,Nov Loan,923xx,CA,8.54,0,5-Jul,0,,,2,0,11135,77.30%,5,f,1592.47,1592.47,12542.3,12542.3,8007.52,4534.78,0,0,0,16-May,237.4,16-May,INDIVIDUAL,0,0-10 years
3139,1024798,1253935,15000,15000,15000, 60 months,19.42%,392.59,E,E3,CATALINA ISLAND VACATION RENTALS,5 years,RENT,55000,Verified,11/1/2011,Charged Off,n,  Borrower added on 11/14/11 > THIS LOAN WILL BE USED TO PAID OFF CREDIT CARD DEBT.  I AM A GOOD CANDIDATE FOR THIS LOAN I HAVE NO LATE PAYMENTS AND HAVE BEEN EMPLOYED FULL TIME FOR OVER 5YRS<br>,debt_consolidation,DEBT CONSOLIDATION,907xx,CA,20.68,0,Sep-96,2,,,13,0,27413,76.40%,22,f,0,0,4710.53,4710.53,1961.67,2736.45,0,12.41,0,12-Dec,392.59,16-May,INDIVIDUAL,0,0-10 years
3140,1015995,1243475,22900,22900,22725, 60 months,18.25%,584.63,D,D5,JP Morgan Chase,10+ years,RENT,55000,Verified,11/1/2011,Charged Off,n,,debt_consolidation,Complete Debt Consolidation,112xx,NY,15.91,0,Jan-91,1,,102,8,1,14755,58.80%,17,f,0,0,12361.79,12267.25,5563.94,6797.85,0,0,0,13-Oct,586.36,16-Apr,INDIVIDUAL,1,10+ years
3147,1017039,1244995,15000,15000,15000, 60 months,17.58%,377.49,D,D4,Camino Real,10+ years,MORTGAGE,48000,Not Verified,11/1/2011,Current,n,"  Borrower added on 11/15/11 > personal loan for variety of things - christmas, kitchen appliances, improvement supplies (paint, etc..)<br><br>",small_business,christmas,356xx,AL,20.32,0,Nov-99,0,,,9,0,5550,66.10%,27,f,2545.67,2545.67,19977.05,19977.05,12454.32,7503.86,18.87,0,0,16-May,377.49,16-May,INDIVIDUAL,0,10+ years
3148,1024670,1253783,30000,30000,28940.605, 60 months,19.91%,793.32,E,E4,Siemens,10+ years,MORTGAGE,173156,Source Verified,11/1/2011,Current,n,,debt_consolidation,Debt Remediation,023xx,MA,9.65,1,Jul-95,1,5,,11,0,55723,56.60%,37,f,5204.84,5200.49,42039.46,39509.48,24795.16,17244.3,0,0,0,16-May,793.32,16-Apr,INDIVIDUAL,0,10+ years
3155,993978,1218167,19000,19000,18750, 60 months,16.77%,469.86,D,D2,City of Cincinnati,10+ years,MORTGAGE,45000,Verified,11/1/2011,Current,n,  Borrower added on 11/14/11 > To consolidate credit cards<br>,debt_consolidation,Debt Consolidation Loan,452xx,OH,23.25,3,Feb-86,0,12,,8,0,19620,60.20%,21,f,3133.31,3092.2,24860.48,24533.15,15866.69,8993.79,0,0,0,16-May,469.86,16-May,INDIVIDUAL,0,10+ years
3156,1024480,1253604,6000,6000,6000, 36 months,10.65%,195.44,B,B2,Berean Group,5 years,MORTGAGE,126000,Not Verified,11/1/2011,Charged Off,n,"  Borrower added on 11/14/11 > we descovered that our living and dining room had no insulation, house was built in 1912.  We have removed all of the plaster and lath, and will insulate.  Have a contractor for the drywall, replace the original electric wiring, and remove and replace the asbestus heat ducks.  We will be contributing 3,500.00 from savings.<br>",home_improvement,Home Improvement,140xx,NY,14.33,1,Nov-85,0,6,111,16,1,20607,50%,21,f,0,0,4652,4652,3433.82,861.02,0,357.16,3.5716,13-Oct,195.44,14-Mar,INDIVIDUAL,1,0-10 years
3162,915599,1136150,16000,16000,15775, 60 months,18.64%,411.89,E,E1,Eastern Arizona College,8 years,MORTGAGE,46000,Verified,11/1/2011,Current,n,  Borrower added on 11/15/11 > I plan to use this money to consolidate my debt. I decided that consolidating my debt and only having one interest rate versus 4 or 5 different ones would be better and help me in save money in the long run. I have a very stable job and have worked there for 8 years. I am a good borrower because I am up to date on my house payments and I have never missed a payment in 5 and a half years. I always pay my bills. <br>,debt_consolidation,Debt consolidation,855xx,AZ,22.46,0,1-Dec,2,,,8,0,13174,94.10%,16,f,2730.42,2692.14,21789.54,21482.87,13269.58,8519.96,0,0,0,16-May,411.89,16-May,INDIVIDUAL,0,0-10 years
3164,1024122,1253232,14000,14000,14000, 36 months,7.90%,438.07,A,A4,Nigel Frank International,2 years,RENT,150000,Source Verified,11/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation,100xx,NY,7.66,0,Dec-96,0,,,10,0,41588,77.60%,27,f,0,0,8319.53,8319.53,6973.3,1346.23,0,0,0,13-Jul,438.07,16-Apr,INDIVIDUAL,0,0-10 years
3165,1020621,1249409,35000,35000,34822.56581, 60 months,20.30%,933.14,E,E5,Kone Inc,< 1 year,MORTGAGE,191000,Verified,11/1/2011,Charged Off,n,,house,Pay off homes Loans,701xx,LA,17.72,2,Nov-94,1,3,,16,0,14925,75.20%,43,f,0,0,25126.3,24994.26,9482.39,11957.06,0,3686.85,36.6408,13-Nov,933.14,14-Mar,INDIVIDUAL,0,0 years
3172,1017853,1246046,13000,13000,12975, 60 months,14.65%,306.89,C,C3,Quaker Sales and Distribution,7 years,MORTGAGE,60000,Verified,11/1/2011,Current,n,  Borrower added on 11/17/11 > I plan to use the loan to pay off two bills that would free up $250 a month.  I have not been late on any payments to any bills.  I have been at the same job for the past seven years.<br>,debt_consolidation,Personal Loan,801xx,CO,12.3,0,Jan-93,1,,,4,0,17963,71.60%,11,f,2048.16,2044.22,16262.83,16231.56,10951.85,5310.98,0,0,0,16-May,306.89,16-May,INDIVIDUAL,0,0-10 years
3174,1023946,1253026,3500,3500,3500, 36 months,11.71%,115.77,B,B3,X sport,< 1 year,RENT,30000,Source Verified,11/1/2011,Charged Off,n,,debt_consolidation,Debt consolidation ,115xx,NY,9.36,0,5-Oct,0,,,6,0,2816,45.80%,8,f,0,0,4098.55,4098.55,1788.54,521.26,0,1788.75,304.0875,13-Aug,115.77,16-Apr,INDIVIDUAL,0,0 years
3177,1023909,1252985,21000,21000,21000, 60 months,17.58%,528.48,D,D4,Hyundai Capital,10+ years,RENT,150000,Source Verified,11/1/2011,Charged Off,n,  Borrower added on 11/13/11 > Travel and visa expenses for future wife.<br> Borrower added on 11/16/11 > Also would use to payoff Wells Fargo revolving credit.<br>,wedding,Wedding,926xx,CA,9.22,0,1-Nov,1,,,5,0,35615,94.20%,24,f,0,0,13333.83,13333.83,5177.35,5917.99,0,2238.49,22.38490001,13-Sep,528.85,14-Feb,INDIVIDUAL,0,10+ years
3178,1023972,1252863,13200,13200,13200, 60 months,14.27%,309,C,C2,Saks Fifth Avenue,4 years,MORTGAGE,75000,Not Verified,11/1/2011,Charged Off,n,,credit_card,credit card pay off,890xx,NV,18.34,0,Nov-99,1,,,13,0,19011,54.20%,33,f,0,0,4942.18,4942.18,2651.44,2273.04,0,17.7,0,13-Apr,309,16-May,INDIVIDUAL,0,0-10 years
3182,1023842,1252710,6850,6850,6850, 60 months,19.03%,177.81,E,E2,athletic fields of america,2 years,RENT,54000,Source Verified,11/1/2011,Charged Off,n,  Borrower added on 11/13/11 > this will allow me to pay off all other debt and have one payment each month instead of paying 9 diffrent accounts each month which cost me over 1000 each month so now im not preasured to worrie so much. thank you lending club there when nobody eles is<br>,debt_consolidation,to pay off debt,114xx,NY,6.47,0,5-Nov,0,,,9,0,9041,77.90%,11,f,0,0,6430.34,6430.34,2958.14,2885.67,0,586.53,5.626100002,14-Sep,177.81,15-Jan,INDIVIDUAL,0,0-10 years
3185,1023860,1216633,20000,20000,19750, 60 months,15.27%,478.64,C,C4,Target,8 years,RENT,75000,Verified,11/1/2011,Charged Off,n,  Borrower added on 10/29/11 > Thank you all for considering my loan application.<br/>Borrower added on 10/29/11 > Thank you all for considering my loan application.<br/>,credit_card,Refi,010xx,MA,16.85,0,Mar-00,1,,,17,0,29712,27.40%,29,f,0,0,13432.51,13263.87,6200.04,5285.29,0,1947.18,19.4718,14-Jan,83.04,14-Apr,INDIVIDUAL,0,0-10 years
3186,1023704,1252790,5000,5000,5000, 36 months,16.77%,177.7,D,D2,Banning Unified School District,6 years,RENT,50000,Source Verified,11/1/2011,Charged Off,n,  Borrower added on 11/13/11 > I have a stable job and income. I will pay my loan on time every month. I am using the loan to pay off my credit cards. Please help me so I can buget myself better. Thank you so much for your considersation.<br><br>,debt_consolidation,payoff loan,923xx,CA,13.03,0,Sep-94,2,,94,7,1,5412,98.40%,15,f,0,0,354.62,354.62,216.68,137.94,0,0,0,12-Feb,177.7,16-May,INDIVIDUAL,1,0-10 years
3187,1023044,1251844,35000,35000,34725, 60 months,12.42%,786.01,B,B4,US Army Corps of Engineers,9 years,MORTGAGE,150000,Source Verified,11/1/2011,Current,n,  Borrower added on 11/19/11 > This is my first time using the Lending Club. I am planning to rennovate my house to accommodate another room (or two) depending on the funding amount. This improvement will increase the homes appraised value as well. My bills are paid on time monthly as maintaining good credit is important to me. I have been employed with the same company for close to ten years and my position is one that is not subject to layoff.  <br><br> Borrower added on 11/20/11 > Thanks to everyone who is making this a possibility for me as I could not acheive this without you all!<br>,home_improvement,Home Improvement Loan,080xx,NJ,10.38,0,Apr-94,0,,,12,0,22499,63.30%,28,f,5290.83,5249.24,41642.15,41314.98,29709.18,11932.97,0,0,0,16-May,786.01,16-May,INDIVIDUAL,0,0-10 years
3189,1020966,1249765,12000,12000,11950, 60 months,14.27%,280.91,C,C2,Ala. Council on Human Relations,10+ years,MORTGAGE,60000,Not Verified,11/1/2011,Charged Off,n,  Borrower added on 11/13/11 > thank you<br>,debt_consolidation,helpfurr,368xx,AL,10.58,0,Feb-82,1,61,,7,0,6049,96%,29,f,0,0,7865.48,7832.6,4544.13,3321.35,0,0,0,14-May,28.08,16-May,INDIVIDUAL,0,10+ years
3190,1023802,1252659,21000,21000,20775, 60 months,17.58%,528.48,D,D4,Paston Group LLC,10+ years,RENT,51000,Verified,11/1/2011,Charged Off,n,"  Borrower added on 11/13/11 >  To whom it may concern, I just want to say thank you for your loan. Now I can start consolidating my debts. I have been working at same job for 15 years.I always make my payments on times.<br><br> Borrower added on 11/13/11 > my monthy budget is 2,500.<br><br> Borrower added on 11/13/11 >  what makes me a good borrow i pay my bills on time, my budget is 2,500 month I have been working at my job for 15years, What i am planning to do with the loan is to pay my debts.<br><br> Borrower added on 11/13/11 > i have a qustion for you how times does a person have to fill this part of loan section out in order to move on or finish processing the loan, thank you.<br><br> Borrower added on 11/13/11 > i have a qustion for you how times does a person have to fill this part of loan section out in order to move on or finish processing the loan, thank you.<br>",debt_consolidation,Freedom,110xx,NY,13.91,0,Aug-85,3,,,9,0,22233,78.80%,16,f,0,0,4226.51,4181.1,1847.86,2378.65,0,0,0,12-Aug,27.44,16-Apr,INDIVIDUAL,0,10+ years
3192,1023555,1252607,35000,35000,34997.35245, 60 months,17.27%,874.93,D,D3,State Street,9 years,MORTGAGE,97500,Source Verified,11/1/2011,Charged Off,n,  Borrower added on 11/15/11 > thank you<br>I would like the full 35k - this is for home improvements and debt pay off <br>thank you <br><br> Borrower added on 11/15/11 > thnak you <br>,house,Our Home,032xx,NH,16.52,0,Aug-99,7,,,9,0,8357,72%,28,f,0,0,32471.77,32465.53,16128.4,13615.39,0,2727.98,27.2798,14-Oct,2620.96,15-Feb,INDIVIDUAL,0,0-10 years
